Age,Gender,TotalCalls,TotalUsage,Churn
56,0,80,665.7250208904846,1
69,0,113,510.7476482876905,1
46,0,39,3293.4607310372176,1
32,1,44,4714.155707066308,1
60,0,61,4044.4173081816402,1
25,0,92,382.0842971902572,0
38,0,114,1396.8385696735818,0
56,1,185,4651.594424189118,1
36,1,66,1265.2921640039228,0
40,0,55,3905.852118934596,1
28,0,39,4125.660979643519,1
28,0,97,2477.2605173049087,0
41,0,39,1931.7445492415775,1
53,1,90,2250.622162098798,1
57,1,32,1134.8234718268207,0
41,1,5,4446.954580644221,0
20,1,146,2253.0982836487897,1
39,0,79,4412.297202280499,0
19,0,167,528.4673995313705,0
41,0,91,4941.376355000657,1
61,1,96,2216.3654372180913,0
47,0,58,239.15410197052734,0
55,1,58,190.10924118727456,1
19,1,47,3731.036287409193,0
38,0,168,3295.177671018404,0
50,0,12,4010.6527906379374,1
29,0,106,526.8376697640298,1
39,1,44,177.85433517774175,1
61,0,88,2542.8964472378925,0
42,1,180,1937.9761574138477,1
66,0,169,2309.734683354779,1
44,1,99,4957.94204435137,0
59,1,190,4853.749788353351,1
45,0,154,4711.576948365964,1
33,1,165,3919.2133838383693,1
32,1,187,1774.206801284452,1
64,0,6,2060.654651313858,0
68,1,132,2748.0802185946222,1
61,0,44,4152.672282024199,1
69,1,57,343.5641625913388,0
20,0,30,2121.484429424441,1
54,0,22,413.0883172963434,0
68,1,169,2573.287932867558,0
24,1,137,4494.504120031177,0
38,1,159,3912.42462281969,1
26,1,106,1139.2120877155498,0
56,1,180,4879.954247993962,0
35,0,157,3336.751990232142,0
21,1,38,52.13849698701534,1
42,0,158,1277.0674234260975,1
31,0,81,1303.5664995995828,1
67,1,99,346.27153142929967,1
26,0,1,4799.132590379645,1
43,0,76,2391.2764728796187,1
19,0,11,4479.07298685941,1
37,0,38,1611.0775172231417,0
45,1,193,626.1678521641356,0
64,0,12,2371.6805495310696,0
24,1,45,569.7831735715858,0
61,1,154,2430.0775148876996,1
25,0,112,4601.485906097038,0
64,1,16,2603.8407091710637,0
52,1,103,3082.4986344754175,0
31,1,97,783.1921848690415,0
34,0,187,218.67812939984742,1
53,1,191,554.0398108990352,1
67,1,87,2992.657878421828,1
57,1,108,475.0584949615233,0
21,0,162,1879.9644497065572,1
19,1,69,2750.45970229078,0
23,0,157,1943.2639931492351,1
59,0,198,818.4190073265074,1
21,0,73,1368.9565375705326,1
46,0,62,4641.587664242885,1
35,0,155,3379.9113779317768,1
43,0,59,2480.2391933994327,0
61,1,78,63.574449934467594,1
51,0,36,4962.077002447351,0
27,1,21,3357.2746744732162,0
53,1,195,1584.6123867247247,0
31,0,147,4396.343299989191,0
48,1,95,1292.1581014590904,0
65,1,67,2720.082895913758,1
32,1,191,3180.3538186491255,1
25,1,16,1105.3168572686423,1
31,0,11,4891.986394002979,1
40,1,149,3740.9595298949876,0
57,0,144,2789.06612755535,1
38,1,137,902.9729908765044,1
33,1,117,269.29103499013064,0
62,0,192,1600.2991626049172,0
35,1,21,3765.936679567014,1
64,1,119,1346.6564915101253,1
41,1,49,2697.7811024775256,0
43,0,13,3639.735883653716,1
42,1,191,539.7185732323218,1
62,0,174,3426.490080579367,1
58,1,28,459.3544385502235,1
46,0,163,4825.648710634982,0
32,0,179,2441.970650324698,0
62,1,124,753.3805385493869,0
18,1,6,1711.9181801677325,1
42,0,28,2067.0822464763073,1
24,0,138,3790.925055382687,1
26,1,32,3717.1189303830465,1
41,0,133,3059.702526686655,1
18,1,110,529.6535627924648,0
61,1,78,757.846857938368,1
25,1,159,468.7846032277831,1
41,1,178,2885.8639164377505,0
28,0,57,4385.69220755702,1
68,1,25,2169.002561273859,0
34,0,173,804.240869788731,0
25,1,28,2790.211625744835,0
52,0,3,4058.7610843285493,0
52,1,98,3708.56030756465,0
50,0,140,4407.253898375107,1
22,0,38,1389.510486244339,0
59,1,14,969.7693363388743,0
56,1,118,4399.082429709693,1
58,1,28,3287.801563890115,1
45,1,156,1554.6446500377708,0
24,0,74,3711.7402528625457,1
26,1,115,4075.5919224018394,1
25,0,31,3074.891201705662,0
29,0,129,3439.4205493995755,0
51,1,174,1876.2995222133316,1
50,0,83,2693.4783367151954,0
65,0,21,2620.795853630811,0
40,0,26,4240.238955653859,1
41,0,194,4199.819901410913,0
54,1,80,4163.402346735216,0
52,1,125,55.15807131232897,0
61,1,183,3747.727422344441,0
57,1,91,3793.381950555024,0
39,0,20,3391.8941142757094,1
44,0,46,3781.323289457263,1
52,1,100,4209.851857483543,0
18,1,186,2351.595270508928,1
52,1,83,2510.2510674422356,0
54,0,5,623.5702845569524,0
64,1,146,1926.879415236809,0
31,1,184,3216.8258995589217,0
20,1,196,3901.9988807363725,0
18,0,130,1086.0454884560527,1
22,0,0,689.114495796177,1
43,0,57,3315.210022502461,0
31,0,123,9.399417624553209,1
56,0,165,891.8629215366492,0
44,0,14,145.35690171976867,1
26,0,161,834.4255892743546,0
32,0,188,906.5963996275261,1
32,1,162,1938.367973751971,0
43,1,63,2011.6356234327798,0
59,0,24,4371.312353051188,1
30,0,23,2550.548562494126,1
68,1,11,3617.0238280614312,0
49,0,17,520.6867896014372,1
56,0,14,1127.1937773184693,0
66,0,26,3514.717204893384,1
69,1,71,264.01980234264045,1
49,1,59,2432.9883112187654,0
21,1,173,2996.844828314669,1
47,1,144,3010.728220262405,1
54,1,92,114.66405634021015,0
40,0,52,1610.5400211459275,1
56,1,7,3182.4532552457704,0
62,0,78,744.9986807462172,0
32,0,26,3477.0782416402662,0
60,1,173,3729.6260440683727,0
