Age,Gender,TotalCalls,TotalUsage,Churn
56,1,189,3859.4773809872945,0
69,1,46,4883.485756449955,1
46,0,22,2528.124107734632,1
32,0,37,3711.1812897666473,1
60,0,191,2696.4847011440474,1
25,0,86,4856.46641365358,0
38,0,9,2825.580329655007,1
56,1,155,2151.9290159311936,0
36,1,130,1766.7781522468656,0
40,0,93,1030.4611996396313,1
28,0,163,1820.2817321699156,1
28,0,36,3015.6445983870544,0
41,0,106,270.3999887391234,0
53,0,115,2323.037450525559,0
57,0,80,1542.385819228645,0
41,0,81,4684.163451931759,0
20,1,86,3371.5074909493383,0
39,0,116,3467.834997895743,0
19,0,66,3278.518935279481,0
41,1,39,3499.092939036199,0
61,0,41,1425.4626092162016,1
47,0,61,3256.2268493783185,0
55,1,173,2312.431083096966,0
19,1,197,3083.412367757921,1
38,0,179,2276.20884082353,1
50,0,59,3946.114079405121,1
29,1,64,1849.569276495503,1
39,1,177,4257.39757406414,0
61,1,114,1126.6824483938303,1
42,0,23,4336.891817928331,1
66,0,115,2456.7715308790116,1
44,1,195,1915.789951388075,0
59,1,196,2161.539170244172,1
45,1,109,3497.931009732925,1
33,0,5,1243.5265749534412,1
32,1,50,3281.9023841383864,0
64,0,1,2826.1460276260914,1
68,0,187,42.90418022497078,1
61,1,23,530.9115150255872,1
69,0,31,1405.8147515071716,0
20,0,53,3440.7385375698013,0
54,0,59,1312.08777520805,1
68,1,170,4351.367818777507,1
24,1,131,783.4167524101421,1
38,1,181,22.172096935033636,0
26,0,96,4729.429142268395,1
56,0,38,1481.3475488414463,1
35,1,1,2492.717617539874,0
21,1,76,2777.1576644790143,1
42,0,123,1896.4010372907503,0
31,0,65,275.0698578258542,0
67,0,10,2784.297441910887,1
26,1,18,4985.292403198173,0
43,1,61,3549.504809734454,0
19,1,82,2095.3910977588675,1
37,0,199,3929.219072870259,0
45,1,176,4350.957387665133,0
64,0,185,2746.8507841070395,1
24,1,185,3550.3647275347716,0
61,0,100,3857.797859632947,0
25,0,140,1258.5160430173908,0
64,0,59,2282.6927462232543,1
52,0,36,4532.61523590986,0
31,0,118,3520.2087097397102,0
34,1,118,2210.7317036270197,1
53,1,119,1285.7541449628768,0
67,1,161,631.4039889632023,0
57,1,113,4869.960322022776,0
21,1,137,4978.478499785012,1
19,0,168,2655.954041320836,1
23,1,192,11.185100819257055,0
59,1,14,966.3018511761501,1
21,0,0,1377.677610776124,0
46,1,60,2296.995990776208,0
35,1,170,3611.388628240733,1
43,0,103,1502.061637960291,0
61,0,65,1631.7186086616769,0
51,0,96,906.9972059589682,1
27,1,69,2779.494284794541,1
53,1,93,1777.818410240623,0
31,0,25,597.1705140871164,1
48,1,84,2321.767565040247,0
65,1,119,3317.8477358677046,1
32,1,125,2386.6842433245156,0
25,0,137,3626.490072203693,0
31,1,66,2687.578012433445,0
40,0,18,2320.370577806182,1
57,1,153,873.913191221517,0
38,1,119,1996.0272392951429,1
33,0,170,766.572852651517,1
62,0,158,447.52127523582095,0
35,0,199,186.79366596709434,1
64,0,149,707.9623576813249,1
41,1,192,88.3233801870792,0
43,1,40,4196.608476996325,0
42,1,119,2175.376474781333,1
62,1,70,876.6013455115257,1
58,0,128,557.3959109941384,1
46,0,192,4345.301545920325,1
32,1,56,274.9439288736227,1
62,1,160,3466.982896784093,0
18,0,171,4197.405591766348,1
42,1,47,4835.010942251049,1
24,1,128,1136.9871154129846,1
26,0,93,2790.9551322453767,1
41,0,101,1237.3059379293206,1
18,0,16,2836.6597579636828,0
61,0,82,1419.1155512348525,0
25,1,172,4207.226435764461,1
41,1,74,4010.2872190424514,0
28,1,44,3584.9927365373287,1
68,1,97,2822.523636158251,1
34,1,95,3794.845461092652,1
25,1,182,4522.171889265235,1
52,0,179,358.7810982884504,0
52,0,124,310.3463222427616,0
50,1,132,632.3322298143619,0
22,0,26,2923.077185498958,1
59,0,102,1092.7520297977405,1
56,0,170,4087.2780471267297,1
58,0,81,673.1890711297955,0
45,0,107,434.40514686852003,1
24,0,168,2167.132133193956,0
26,0,66,3512.780916548019,0
25,0,147,3571.2553840409055,0
29,0,58,589.021043692135,1
51,0,58,439.94183136768004,0
50,0,151,5.336496102146815,0
65,0,153,534.5946300065763,1
40,1,77,4617.317743471052,1
41,1,113,1625.8276460426735,1
54,1,4,769.431654764337,0
52,0,156,4062.2223104155314,0
61,0,153,3587.015946818315,0
57,1,47,4835.9088705703625,0
39,1,31,218.30249458731353,1
44,1,60,703.1981728725594,0
52,1,35,3573.3008407533753,0
18,0,86,1641.7665069972238,1
52,1,101,2934.9347176034807,1
54,0,39,3111.0804563956003,0
64,1,146,752.354403686471,1
31,0,130,2007.2250306294864,1
20,1,110,270.3185642567707,0
18,0,188,1590.000492453984,0
22,1,15,4400.5332516565095,1
43,1,114,747.3112943108845,0
31,1,187,1904.8896561978695,1
56,1,138,4388.810115331211,0
44,1,32,3596.212523628246,0
26,1,105,1860.2878317117988,0
32,1,71,3149.717784245472,0
32,0,135,4444.533207904312,0
43,1,198,4529.567590156487,0
59,1,143,1526.4803885991162,0
30,0,114,1616.597403502274,1
68,0,188,3335.74312307528,1
49,0,25,1615.0312124965737,1
56,0,15,1789.9559500480566,0
66,1,109,1409.0857902706828,1
69,1,155,382.68206407241934,0
49,0,182,2213.543006459536,0
21,0,25,3007.4047939154934,0
47,1,102,4362.070194227326,1
54,1,3,4148.640590347396,0
40,1,148,1930.6892436338642,0
56,0,116,4901.268948765493,1
62,0,115,51.51004073298326,0
32,0,48,3693.937181949941,1
60,1,113,3179.287448176203,0
46,0,81,2469.4320059903253,0
53,0,45,1406.9739097924928,1
30,1,116,1789.8031281259596,0
49,0,2,181.5666306727598,1
24,1,49,4206.290793393916,0
68,1,186,4212.576514231694,0
39,1,164,1162.667925137727,0
45,0,193,4441.746903743047,0
19,1,93,4970.68400983904,1
59,1,89,3010.8838297815128,0
62,1,134,3304.833464272348,1
23,1,43,222.67150071769436,1
45,1,150,3317.4928929868365,1
45,0,147,803.0419118242132,0
61,0,153,3243.2125029286185,0
61,0,61,3216.665289013582,1
37,1,181,972.0892966933731,0
47,1,176,1251.5100644387417,0
28,0,122,950.8849118213752,0
45,1,2,10.070858023868423,1
42,0,125,3970.536520109611,1
56,1,5,2693.088540941316,1
50,1,94,2686.7270919976786,1
18,0,135,391.7005862999268,1
44,0,192,2769.9586637611496,1
69,0,125,2385.95860508766,1
30,1,169,3517.701619249762,1
58,1,19,2591.2911824727003,1
20,1,192,4180.432878604056,0
56,1,95,1951.1856009749672,1
23,0,97,3932.1450800291486,1
25,1,54,996.3229618267183,1
44,1,112,533.0744531997311,0
26,0,19,1335.7600381607442,0
54,0,190,2329.4337847000756,0
50,0,55,4882.586046937659,0
68,1,50,3171.636280412139,1
59,1,114,39.32949899021487,0
61,1,101,3679.0121343709807,0
41,0,103,18.66299269959182,1
32,0,91,2181.6340608978994,1
49,1,176,999.8438427223866,1
49,1,135,2015.5918392809258,1
41,1,161,1316.319282521683,1
58,1,105,3068.3541799430113,1
69,1,146,235.17301176228798,1
66,0,8,701.7866111765309,0
66,1,65,533.8402356632965,1
69,0,33,4470.444879109729,0
29,1,0,1858.4334357644832,1
56,1,94,3180.387420930542,0
19,0,65,4284.585928384301,1
20,1,21,4945.739924174484,0
66,1,199,3454.929144484924,1
54,0,174,1438.7384779623364,0
66,1,2,4905.202241092631,0
34,0,34,3082.3826882639437,0
66,0,163,4959.148651122847,1
19,1,151,1329.8388483024953,0
19,1,9,3745.328009936249,0
45,0,70,1924.8001126415177,0
40,0,148,3164.758177732886,1
54,1,57,3190.976392695033,1
49,0,44,1030.4174586338493,0
50,0,195,4581.977248454964,1
18,0,138,4126.8456521671005,0
36,0,145,599.1122779602831,1
19,1,143,4210.777818937191,0
61,1,183,2542.4828036719136,1
43,1,64,3702.127232830375,0
49,0,63,1067.1334995600562,1
23,1,13,4982.598460071311,0
49,0,179,2269.1698108602477,1
21,0,38,3788.3921938218436,0
28,1,92,4268.255855172951,1
34,0,141,1092.760156367929,0
55,0,3,3200.13638426707,1
41,1,7,2655.2003097096017,0
22,1,186,79.61167168640593,1
69,0,77,1503.3244543230978,1
51,1,114,586.4679084537694,0
23,1,82,2041.909679085786,0
39,0,80,1396.2068820254924,0
28,1,96,4960.345679142163,0
65,0,160,4856.302965028503,1
33,0,47,3003.795863005912,1
50,1,153,2107.2983890248047,0
26,0,47,4410.608831534623,1
23,0,174,2968.9759602436866,1
33,1,185,1400.2938753834821,0
46,0,131,4049.1349283495006,0
20,0,44,1641.006683617976,0
37,1,92,1421.7648073317164,0
53,1,146,4317.887183257785,1
36,1,147,1063.8345736207266,0
43,1,181,1073.82178888204,0
20,0,189,4520.030629027717,1
36,0,50,3714.473678623708,0
37,0,137,620.8381957136838,1
49,0,106,120.03252281940601,1
24,1,157,919.617789354033,1
69,0,165,4978.093608128942,0
58,0,33,4584.312970523815,0
50,1,73,1164.3265912638694,0
57,0,154,2846.845116880537,0
56,0,19,2863.9986011281867,1
35,0,15,3853.7674078045934,1
57,0,158,1683.4473760781643,1
18,1,186,344.04193930865137,1
28,0,165,2523.768209754478,0
45,0,51,1571.5730739529304,1
42,1,193,3998.495249365656,0
67,0,68,1335.1508217497699,0
40,1,32,2025.2361173334432,1
48,1,40,877.7599900895843,1
47,0,41,166.11509370355714,1
59,1,68,292.3066520449502,1
52,0,66,4573.3285130939485,1
24,0,107,373.7666830213626,0
33,0,93,2231.8126188291963,0
43,1,2,2408.342403207331,1
65,0,160,3944.1042021714784,0
69,1,37,152.30605355223747,0
66,0,84,2656.72058455292,0
19,1,41,3789.93105710973,0
18,0,16,8.174429895155267,0
65,1,171,1179.8954961296427,0
29,1,37,1438.2984437101254,1
22,0,119,2482.505227333242,0
54,1,80,3056.6501213450624,0
49,1,99,281.0299802515381,0
26,1,40,4179.530712051669,1
58,1,39,4099.2996038090205,0
52,0,5,4599.140375006176,0
36,1,164,4241.102615479452,0
65,1,186,612.6687657821394,1
33,1,48,2875.6688066774636,1
20,1,185,287.5681494241383,1
37,0,14,4012.847821913801,0
41,0,39,4880.056641600145,1
50,1,34,828.4163917282323,0
41,1,179,3110.532524659486,0
69,1,199,3652.1091232744698,0
28,0,194,770.7240074490862,1
66,1,126,1084.5169567909586,0
25,0,68,1865.7116588491,1
53,1,42,921.7368490299971,1
55,1,133,1608.1206725073982,1
57,1,23,4998.828215324824,0
37,1,43,4697.896558123384,1
52,0,85,19.448956402469687,0
65,0,138,3883.824639639689,1
42,1,63,2984.2420282552166,0
52,1,160,3943.9956519686725,1
42,0,23,2427.7529647282763,0
46,0,89,2047.6837660995684,0
35,1,124,24.45326357545019,1
63,1,54,1844.3634223006118,1
35,1,192,3530.4810292552597,0
19,1,166,4033.982125638901,1
52,0,75,599.3558536435934,1
33,0,179,368.1679665304344,1
58,0,5,4109.062672069239,1
53,0,52,1587.483201879294,0
50,0,34,4205.785732638968,0
21,0,101,4935.845592571188,1
50,1,85,795.6412720611416,1
31,1,9,1367.7213079125238,0
38,1,98,3812.1831336442874,1
65,1,88,1815.0020623689888,0
37,0,1,184.34829419242126,1
